algorithm,node,latitude,longitude,altitude,importance
dynamic_programming,Himalaya Pra V,27.68067255,86.4590789019323,2647.0,5.000152590214416e-05
dynamic_programming,ल्हाछेवार,27.6872829,86.4694059,2320.0,5.000152590214416e-05
dynamic_programming,Umakunda-01,27.70061845,86.4728743721854,2240.0,0.14671666819256882
dynamic_programming,Ngeju Kharka,27.7334185,86.5166062,3450.0,0.14671666819256882
dynamic_programming,Khola Kharka,27.742438,86.4478374,4167.0,0.14671666819256882
dynamic_programming,Tershe,27.7190715,86.411384,4303.0,0.06671666819256886
dynamic_programming,Jiri-01,27.78668815,86.3498406132568,4602.0,0.16005000152590218
dynamic_programming,Soktuma,27.72170835,86.2674203170994,3591.0,0.053383334859235486
dynamic_programming,Gaurishankar-05,27.72170835,86.2674203170994,3585.0,0.053383334859235486
dynamic_programming,chautara,27.6735234,86.2525758,3477.0,5.000152590214416e-05
dynamic_programming,Jiri-02,27.6670333,86.2490316,3172.0,5.000152590214416e-05
