hours,algorithm,runtime_s,memory_peak_bytes
2,greedy,0.0011069140018662438,4576
2,divide_and_conquer,2.066607890999876,53176
2,dynamic_programming,0.14588311000261456,152224
3,greedy,0.0007968520003487356,6304
3,divide_and_conquer,2.1011594219962717,47312
3,dynamic_programming,0.21869916900323005,151856
4,greedy,0.0009438339984626509,6944
4,divide_and_conquer,2.099299248002353,47384
4,dynamic_programming,0.2192059410008369,151992
5,greedy,0.0012202130019431934,8416
5,divide_and_conquer,2.101917116997356,47472
5,dynamic_programming,0.20054524300212506,150632
6,greedy,0.001550624001538381,9952
6,divide_and_conquer,2.3222247550002066,47840
6,dynamic_programming,0.5037636629931512,151832
7,greedy,0.003225699001632165,11296
7,divide_and_conquer,2.660333305997483,47960
7,dynamic_programming,0.28075056100351503,152336
8,greedy,0.002212898005382158,7968
8,divide_and_conquer,2.629589133000991,48688
8,dynamic_programming,0.2747213920010836,151568
9,greedy,0.0026042800018331036,8720
9,divide_and_conquer,2.6258082049971563,49104
9,dynamic_programming,0.30639950199838495,151912
10,greedy,0.0031869029990048148,8864
10,divide_and_conquer,2.6062199529987993,49048
10,dynamic_programming,0.2744915509974817,152256
11,greedy,0.0034580649953568354,11104
11,divide_and_conquer,2.7530049240012886,49048
11,dynamic_programming,0.2781092430013814,152256
12,greedy,0.004656090997741558,13792
12,divide_and_conquer,2.6130551189999096,49016
12,dynamic_programming,0.27171254999848315,152344
13,greedy,0.005295861999911722,15768
13,divide_and_conquer,2.722690064001654,48896
13,dynamic_programming,0.28141048299585236,152288
14,greedy,0.005849639004736673,16096
14,divide_and_conquer,2.6142734399982146,49232
14,dynamic_programming,0.2752884020010242,152232
15,greedy,0.006012837002344895,17440
15,divide_and_conquer,2.829610815999331,49000
15,dynamic_programming,0.31032397300441517,151992
