algorithm,node,latitude,longitude,altitude,importance
divide_and_conquer,Namtan,27.9258527,85.9588764,2974.0,0.053383334859235486
divide_and_conquer,NH34,27.9243005,85.9514255,2232.0,0.053383334859235486
divide_and_conquer,23DR027,27.8917883,85.8771539,2131.0,0.053383334859235486
divide_and_conquer,Gumtang-Bhairabkunda Road,27.8566153277613,85.859400716802,1870.0,0.053383334859235486
divide_and_conquer,Shree Kirateshwor Primary School,27.82944135,85.8312145,2260.0,5.000152590214416e-05
divide_and_conquer,Patichaur,27.8319514,85.8125501,2015.0,5.000152590214416e-05
divide_and_conquer,23DR019,27.8198589,85.7918563,1682.0,0.053383334859235486
divide_and_conquer,23DR015,27.9174823,85.7819796,1610.0,0.053383334859235486
divide_and_conquer,Streusiedlung,27.9418178,85.8004524,1991.0,0.053383334859235486
divide_and_conquer,Kyablunthang Ni Ma V,27.9633159,85.8026615,1878.0,5.000152590214416e-05
divide_and_conquer,Gamphāthāng,27.9641043,85.8045692,2217.0,5.000152590214416e-05
divide_and_conquer,Jugal Hima Trek Route,28.0202151943382,85.7828763954676,2237.0,0.04005000152590218
