network_size,algorithm,runtime_seconds,memory_bytes
5,greedy,0.00011157989501953125,480
5,divide_and_conquer,9.202957153320312e-05,552
5,dynamic_programming,4.291534423828125e-05,480
10,greedy,5.054473876953125e-05,752
10,divide_and_conquer,0.0003268718719482422,896
10,dynamic_programming,0.0006477832794189453,896
20,greedy,0.00017547607421875,1168
20,divide_and_conquer,0.0032799243927001953,1304
20,dynamic_programming,0.0014693737030029297,1304
30,greedy,0.0003762245178222656,2032
30,divide_and_conquer,0.11999893188476562,2288
30,dynamic_programming,0.039306640625,2288
50,greedy,0.0003085136413574219,3536
50,divide_and_conquer,5.324643850326538,4064
50,dynamic_programming,1.5124146938323975,4040
75,greedy,0.0011446475982666016,3664
75,divide_and_conquer,37.717737436294556,4056
75,dynamic_programming,9.084516525268555,4056
