algorithm,path,total_importance,average_importance,total_altitude_change,path_length,hours_used
greedy,"Jiri Hospital,Jiri-Shivalaya,F202,21DR017,Shree Valepokhari Pra Vi,Degunsha,खहरे,Jiri-01,Gaurishankar-07,Yalung Ri Base Camp,Na,Josef Phurba Lodge,Gaurishankar-09,Beding,historic Beding Gompa, Guru Rinpche cave ,रोल्वालिङ साङ्ग क्ष्योलिङ गुम्बा,Ramding,Sumda Mahades Hindu shrine,Lodge,Dongang,Kyalche,Surmuche Hotel,Bamboo Bhatti,Shri Choing Choling Gumba,NH28,Orang,Shree Jana Kalyan PRA V,Singati-Bulung Road,Singati - Laduk Road,Singati-Bigu Road,Bigu - Choitang - Gaglate Road,Bahrabise - Karthali - Dolangsa Road,Pokhare,Bhotekoshi-05,NH34,23DR027,Gumtang-Bhairabkunda Road,Shree Kirateshwor Primary School,Patichaur,23DR019,23DR015,Streusiedlung,Kyablunthang Ni Ma V,Gamphāthāng,Jugal Hima Trek Route",1.8688,0.0415,17997.00,45,
divide_and_conquer,"Jiri Hospital,Jiri-Shivalaya,F202,Shivalaya-Bhandar,Jadibuti Ni Ma V,21DR018,Gumdel,Kyama,Himalaya Pra V,ल्हाछेवार,Umakunda-01,Ngeju Kharka,Khola Kharka,Tershe,Jiri-01,Gaurishankar-07,Yalung Ri Base Camp,Na,Josef Phurba Lodge,Gaurishankar-09,Beding,historic Beding Gompa, Guru Rinpche cave ,रोल्वालिङ साङ्ग क्ष्योलिङ गुम्बा,Ramding,Sumda Mahades Hindu shrine,Lodge,Dongang,Kyalche,Surmuche Hotel,Bamboo Bhatti,Shri Choing Choling Gumba,NH28,Orang,Shree Jana Kalyan PRA V,Singati-Bulung Road,Charikot-Lamabagar Road,Singati-Bigu Road,Bigu - Choitang - Gaglate Road,Bahrabise - Karthali - Dolangsa Road,Pokhare,Bhotekoshi-05,NH34,23DR027,Gumtang-Bhairabkunda Road,Shree Kirateshwor Primary School,Patichaur,23DR019,23DR015,Streusiedlung,Kyablunthang Ni Ma V,Gamphāthāng,Jugal Hima Trek Route",2.3225,0.0447,19495.00,52,
dynamic_programming,"Jiri Hospital,Jiri-Shivalaya,F202,Shivalaya-Bhandar,Jadibuti Ni Ma V,21DR018,Gumdel,Kyama,Himalaya Pra V,ल्हाछेवार,Umakunda-01,Ngeju Kharka,Khola Kharka,Tershe,Jiri-01,Gaurishankar-07,Yalung Ri Base Camp,Na,Josef Phurba Lodge,Gaurishankar-09,Beding,historic Beding Gompa, Guru Rinpche cave ,रोल्वालिङ साङ्ग क्ष्योलिङ गुम्बा,Ramding,Sumda Mahades Hindu shrine,Lodge,Dongang,Kyalche,Surmuche Hotel,Bamboo Bhatti,Shri Choing Choling Gumba,NH28,Orang,Shree Jana Kalyan PRA V,Singati-Bulung Road,Charikot-Lamabagar Road,Singati-Bigu Road,Bigu - Choitang - Gaglate Road,Bahrabise - Karthali - Dolangsa Road,Pokhare,Bhotekoshi-05,NH34,23DR027,Gumtang-Bhairabkunda Road,Shree Kirateshwor Primary School,Patichaur,23DR019,23DR015,Streusiedlung,Kyablunthang Ni Ma V,Gamphāthāng,Jugal Hima Trek Route",2.3225,0.0447,19495.00,52,
