algorithm,path,total_importance,average_importance,total_altitude_change,path_length,days_used
greedy,"Jiri Hospital,Jiri-Shivalaya,F202,21DR017,Shree Valepokhari Pra Vi,Degunsha,खहरे,Jiri-01,Gaurishankar-07,Yalung Ri Base Camp,Na,Josef Phurba Lodge,Gaurishankar-09,Beding,historic Beding Gompa, Guru Rinpche cave ,रोल्वालिङ साङ्ग क्ष्योलिङ गुम्बा,Ramding,Sumda Mahades Hindu shrine,Lodge,Dongang,Kyalche,Surmuche Hotel,Bamboo Bhatti,Shri Choing Choling Gumba,NH28,Shree kaileshwori PRA V,Shree Himalaya Ma V,Shree Chirkun Than Namuna PRA V,Chilankha-Syakhu-Alampu-Bigu Road,Singati-Bigu Road,Bigu - Choitang - Gaglate Road,Bahrabise - Karthali - Dolangsa Road,Pokhare,Bhotekoshi-05,NH34,23DR027,Gumtang-Bhairabkunda Road,Shree Kirateshwor Primary School,Patichaur,23DR019,23DR015,Streusiedlung,Kyablunthang Ni Ma V,Gamphāthāng,Jugal Hima Trek Route",1.8155,0.0403,17475.00,45,3
divide_and_conquer,"Jiri Hospital,Jiri-Shivalaya,F202,Shivalaya-Bhandar,Jadibuti Ni Ma V,21DR018,Gumdel,Kyama,Himalaya Pra V,ल्हाछेवार,Umakunda-01,Ngeju Kharka,Khola Kharka,Tershe,Jiri-01,Gaurishankar-07,Yalung Ri Base Camp,Na,Josef Phurba Lodge,Gaurishankar-09,Beding,historic Beding Gompa, Guru Rinpche cave ,रोल्वालिङ साङ्ग क्ष्योलिङ गुम्बा,Ramding,Sumda Mahades Hindu shrine,Lodge,Dongang,Kyalche,Surmuche Hotel,Bamboo Bhatti,Shri Choing Choling Gumba,NH28,Shree kaileshwori PRA V,Shree Himalaya Ma V,Shree Chirkun Than Namuna PRA V,Chilankha-Syakhu-Alampu-Bigu Road,Singati-Bigu Road,Bigu - Choitang - Gaglate Road,Bahrabise - Karthali - Dolangsa Road,Bhotekoshi-04,Namtan,NH34,23DR027,Gumtang-Bhairabkunda Road,Shree Kirateshwor Primary School,Patichaur,23DR019,23DR015,Streusiedlung,Kyablunthang Ni Ma V,Gamphāthāng,Jugal Hima Trek Route",2.2825,0.0439,19517.00,52,3
dynamic_programming,"Jiri Hospital,Jiri-Shivalaya,F202,Shivalaya-Bhandar,Jadibuti Ni Ma V,21DR018,Gumdel,Kyama,Himalaya Pra V,ल्हाछेवार,Umakunda-01,Ngeju Kharka,Khola Kharka,Tershe,Jiri-01,Gaurishankar-07,Yalung Ri Base Camp,Na,Josef Phurba Lodge,Gaurishankar-09,Beding,historic Beding Gompa, Guru Rinpche cave ,रोल्वालिङ साङ्ग क्ष्योलिङ गुम्बा,Ramding,Sumda Mahades Hindu shrine,Lodge,Dongang,Kyalche,Surmuche Hotel,Bamboo Bhatti,Shri Choing Choling Gumba,NH28,Shree kaileshwori PRA V,Shree Himalaya Ma V,Shree Chirkun Than Namuna PRA V,Chilankha-Syakhu-Alampu-Bigu Road,Singati-Bigu Road,Bigu - Choitang - Gaglate Road,Bahrabise - Karthali - Dolangsa Road,Pokhare,Bhotekoshi-05,NH34,23DR027,Gumtang-Bhairabkunda Road,Shree Kirateshwor Primary School,Patichaur,23DR019,23DR015,Streusiedlung,Kyablunthang Ni Ma V,Gamphāthāng,Jugal Hima Trek Route",2.2692,0.0436,19495.00,52,3
