algorithm,path,total_importance,average_importance,total_altitude_change,path_length,hours_used
greedy,"Jiri Hospital,Jiri-Shivalaya,F202,21DR017,Shree Valepokhari Pra Vi,Degunsha,खहरे,Jiri-01,Soktuma,Gaurishankar-05,chautara,Jiri-02",0.5606,0.0467,5234.00,12,
divide_and_conquer,"Jiri Hospital,Jiri-Shivalaya,F202,Shivalaya-Bhandar,Jadibuti Ni Ma V,21DR018,Gumdel,Kyama,Himalaya Pra V,ल्हाछेवार,Umakunda-01,Ngeju Kharka,Khola Kharka,Tershe,Jiri-01,Gaurishankar-07,Yalung Ri Base Camp,Na,Josef Phurba Lodge,Gaurishankar-09,Beding,historic Beding Gompa, Guru Rinpche cave ,रोल्वालिङ साङ्ग क्ष्योलिङ गुम्बा,Ramding,Sumda Mahades Hindu shrine,Lodge,Dongang,Kyalche,Surmuche Hotel,Bamboo Bhatti,Surmuche Hotel,Kyalche,Dongang,Lodge,Sumda Mahades Hindu shrine,Ramding,रोल्वालिङ साङ्ग क्ष्योलिङ गुम्बा,historic Beding Gompa, Guru Rinpche cave ,Beding,Gaurishankar-09,Josef Phurba Lodge,Na,Yalung Ri Base Camp,Gaurishankar-07,Jiri-01,Soktuma,Gaurishankar-05,chautara,Jiri-02",1.4415,0.0294,18210.00,49,
dynamic_programming,"Jiri Hospital,Jiri-02,chautara,Gaurishankar-05,Soktuma,Jiri-01,खहरे,Degunsha,Shree Valepokhari Pra Vi,21DR017,F202,Shivalaya-Bhandar,Jadibuti Ni Ma V,21DR018,Gumdel,Kyama,Himalaya Pra V,ल्हाछेवार,Umakunda-01,Ngeju Kharka,Khola Kharka,Tershe,Jiri-01,Soktuma,Gaurishankar-05,chautara,Jiri-02",1.1744,0.0435,12370.00,27,
