algorithm,path,total_importance,average_importance,total_altitude_change,path_length,hours_used
greedy,"Jiri Hospital,Jiri-02,chautara,Gaurishankar-05,Soktuma,Jiri-01,Gaurishankar-07,Yalung Ri Base Camp,Na,Josef Phurba Lodge,Gaurishankar-09,Beding,historic Beding Gompa, Guru Rinpche cave ,रोल्वालिङ साङ्ग क्ष्योलिङ गुम्बा,Ramding,Sumda Mahades Hindu shrine,Lodge,Dongang,Kyalche,Surmuche Hotel,Bamboo Bhatti,Shri Choing Choling Gumba,NH28,Shree kaileshwori PRA V,Shree Himalaya Ma V,Shree Chirkun Than Namuna PRA V,Chilankha-Syakhu-Alampu-Bigu Road,Singati-Bigu Road,Bigu - Choitang - Gaglate Road,Bahrabise - Karthali - Dolangsa Road,Pokhare,Bhotekoshi-05,NH34,23DR027,Bagaam,Bhairabkunda Road,Kyansing,Gamphāthāng,Jugal Hima Trek Route",1.6019,0.0411,17891.00,39,
divide_and_conquer,"Jiri Hospital,Jiri-02,chautara,Gaurishankar-05,Soktuma,Jiri-01,Gaurishankar-07,Yalung Ri Base Camp,Na,Josef Phurba Lodge,Gaurishankar-09,Beding,historic Beding Gompa, Guru Rinpche cave ,रोल्वालिङ साङ्ग क्ष्योलिङ गुम्बा,Ramding,Sumda Mahades Hindu shrine,Lodge,Dongang,Kyalche,Surmuche Hotel,Bamboo Bhatti,Shri Choing Choling Gumba,NH28,Shree kaileshwori PRA V,Shree Himalaya Ma V,Shree Chirkun Than Namuna PRA V,Chilankha-Syakhu-Alampu-Bigu Road,Singati-Bigu Road,Bigu - Choitang - Gaglate Road,Bahrabise - Karthali - Dolangsa Road,Bhotekoshi-04,Namtan,NH34,23DR027,Gumtang-Bhairabkunda Road,Shree Kirateshwor Primary School,Patichaur,23DR019,23DR015,Streusiedlung,Kyablunthang Ni Ma V,Gamphāthāng,Jugal Hima Trek Route",1.6421,0.0382,16407.00,43,
dynamic_programming,,0.0000,0.0000,0.00,0,
