name,latitude,longitude,altitude,importance
Shree Kirateshwor Primary School,27.82944135,85.8312145,2260,5.000152590214416e-05
Patichaur,27.8319514,85.8125501,2015,5.000152590214416e-05
Shree Jugal Lower Secondary School,27.8341554,85.8086500426718,1924,5.000152590214416e-05
23DR019,27.8198589,85.7918563,1682,0.053383334859235486
Bhairabkunda Road,27.92936165,85.8697019836549,3994,0.053383334859235486
Kyansing,27.9713264,85.8221074,2752,5.000152590214416e-05
Jugal Himal Trek Route,27.9779834,85.8296296,2340,0.04005000152590218
Tempathang,28.0197239,85.7843038,2175,0.04005000152590218
Jugal Hima Trek Route,28.0202151943382,85.7828763954676,2237,0.04005000152590218
Araniko Rajmarg,27.7801458,85.8922613,884,0.053383334859235486
Bagaam,27.9283466,85.8992694,2919,0.1333833348592355
Tasithan,27.9283466,85.8992694,3070,0.1333833348592355
Bhotekoshi-03,27.92936165,85.8697019836549,3560,0.053383334859235486
Bhotekoshi-01,27.92936165,85.8697019836549,3859,0.053383334859235486
Bhairab kunda,27.9897573,85.8792115,4252,5.000152590214416e-05
Bhotekoshi-04,27.88774295,85.9808261280268,2963,0.16005000152590218
Namtan,27.9258527,85.9588764,2974,0.053383334859235486
